Dấu thời gian,Câu trả lời của AI Tutor giúp tôi hiểu rõ nội dung hoặc khái niệm đang học. [Câu trả lời của AI Tutor giúp tôi hiểu rõ nội dung hoặc khái niệm đang học.],Câu trả lời của AI Tutor giúp tôi hiểu rõ nội dung hoặc khái niệm đang học. [Các câu hỏi kiểm tra nhanh sau phần giải thích giúp tôi tự đánh giá chính xác mức độ hiểu bài của mình.],"Câu trả lời của AI Tutor giúp tôi hiểu rõ nội dung hoặc khái niệm đang học. [Khi câu hỏi của tôi chưa rõ ràng, các câu hỏi làm rõ của AI Tutor phù hợp và giúp tôi diễn đạt đúng vấn đề cần hỏi.]","Câu trả lời của AI Tutor giúp tôi hiểu rõ nội dung hoặc khái niệm đang học. [Khi tôi trả lời sai, AI Tutor xác định đúng điểm tôi đang hiểu nhầm và giải thích lại theo cách dễ hiểu hơn.]",Câu trả lời của AI Tutor giúp tôi hiểu rõ nội dung hoặc khái niệm đang học. [Các câu hỏi hoặc nội dung được VLearn gợi ý sau mỗi lượt trao đổi giúp tôi xác định được bước học tiếp theo phù hợp.],Điều gì cần được cải thiện để trải nghiệm học tập với AI Tutor trên VLearn hiệu quả hơn?
30/07/2026 12:00:11,4 – Đồng ý,4 – Đồng ý,3 – Trung lập,4 – Đồng ý,3 – Trung lập,
30/07/2026 12:00:26,4 – Đồng ý,2 – Không đồng ý,3 – Trung lập,3 – Trung lập,3 – Trung lập,
30/07/2026 12:00:41,5 – Hoàn toàn đồng ý.,2 – Không đồng ý,2 – Không đồng ý,3 – Trung lập,1 – Hoàn toàn không đồng ý,"Khi tôi lúng túng chưa biết học tiếp phần nào, AI không gợi ý bước học tiếp theo."
30/07/2026 12:00:53,4 – Đồng ý,3 – Trung lập,3 – Trung lập,3 – Trung lập,1 – Hoàn toàn không đồng ý,
30/07/2026 12:01:13,4 – Đồng ý,5 – Hoàn toàn đồng ý.,2 – Không đồng ý,2 – Không đồng ý,2 – Không đồng ý,AI không tự động phát hiện được nhầm lẫn tư duy cốt lõi của học viên khi chọn sai đáp án.
30/07/2026 12:01:28,5 – Hoàn toàn đồng ý.,1 – Hoàn toàn không đồng ý,3 – Trung lập,2 – Không đồng ý,1 – Hoàn toàn không đồng ý,AI không tự động phát hiện được nhầm lẫn tư duy cốt lõi của học viên khi chọn sai đáp án.
30/07/2026 12:01:53,4 – Đồng ý,3 – Trung lập,2 – Không đồng ý,2 – Không đồng ý,1 – Hoàn toàn không đồng ý,
30/07/2026 12:02:11,4 – Đồng ý,4 – Đồng ý,2 – Không đồng ý,3 – Trung lập,3 – Trung lập,
30/07/2026 12:02:26,4 – Đồng ý,2 – Không đồng ý,4 – Đồng ý,2 – Không đồng ý,5 – Hoàn toàn đồng ý.,Cần tính năng kiểm tra hiểu bài (Understanding Check) tự động giao bài Quiz trắc nghiệm hoặc tự luận.
30/07/2026 12:02:44,5 – Hoàn toàn đồng ý.,2 – Không đồng ý,3 – Trung lập,3 – Trung lập,4 – Đồng ý,Cần tính năng kiểm tra hiểu bài (Understanding Check) tự động giao bài Quiz trắc nghiệm hoặc tự luận.
30/07/2026 12:03:04,3 – Trung lập,2 – Không đồng ý,3 – Trung lập,2 – Không đồng ý,1 – Hoàn toàn không đồng ý,
30/07/2026 12:03:12,4 – Đồng ý,2 – Không đồng ý,3 – Trung lập,4 – Đồng ý,5 – Hoàn toàn đồng ý.,Cần tính năng kiểm tra hiểu bài (Understanding Check) tự động giao bài Quiz trắc nghiệm hoặc tự luận.
30/07/2026 12:03:33,4 – Đồng ý,3 – Trung lập,2 – Không đồng ý,3 – Trung lập,2 – Không đồng ý,
30/07/2026 12:03:53,5 – Hoàn toàn đồng ý.,2 – Không đồng ý,2 – Không đồng ý,3 – Trung lập,1 – Hoàn toàn không đồng ý,
30/07/2026 12:04:06,4 – Đồng ý,2 – Không đồng ý,3 – Trung lập,2 – Không đồng ý,2 – Không đồng ý,"AI Tutor chưa chủ động gợi mở cuộc trò chuyện sau khi trả lời xong, làm gián đoạn mạch học tập."
30/07/2026 12:04:25,4 – Đồng ý,2 – Không đồng ý,3 – Trung lập,2 – Không đồng ý,1 – Hoàn toàn không đồng ý,
30/07/2026 12:04:49,5 – Hoàn toàn đồng ý.,3 – Trung lập,2 – Không đồng ý,4 – Đồng ý,1 – Hoàn toàn không đồng ý,
30/07/2026 12:05:04,4 – Đồng ý,4 – Đồng ý,2 – Không đồng ý,2 – Không đồng ý,2 – Không đồng ý,Hệ thống hoàn toàn chưa có tính năng Quiz kiểm tra nhanh sau phần giải thích để học viên tự đánh giá.
30/07/2026 12:05:23,4 – Đồng ý,2 – Không đồng ý,1 – Hoàn toàn không đồng ý,3 – Trung lập,1 – Hoàn toàn không đồng ý,
30/07/2026 12:05:38,5 – Hoàn toàn đồng ý.,1 – Hoàn toàn không đồng ý,3 – Trung lập,2 – Không đồng ý,3 – Trung lập,Cần tính năng kiểm tra hiểu bài (Understanding Check) tự động giao bài Quiz trắc nghiệm hoặc tự luận.
30/07/2026 12:05:51,4 – Đồng ý,2 – Không đồng ý,3 – Trung lập,4 – Đồng ý,2 – Không đồng ý,AI không tự động phát hiện được nhầm lẫn tư duy cốt lõi của học viên khi chọn sai đáp án.
30/07/2026 12:06:11,3 – Trung lập,2 – Không đồng ý,3 – Trung lập,3 – Trung lập,4 – Đồng ý,
30/07/2026 12:06:30,4 – Đồng ý,4 – Đồng ý,3 – Trung lập,2 – Không đồng ý,1 – Hoàn toàn không đồng ý,
30/07/2026 12:06:50,5 – Hoàn toàn đồng ý.,2 – Không đồng ý,1 – Hoàn toàn không đồng ý,3 – Trung lập,4 – Đồng ý,"Khi tôi lúng túng chưa biết học tiếp phần nào, AI không gợi ý bước học tiếp theo."
30/07/2026 12:07:07,4 – Đồng ý,2 – Không đồng ý,4 – Đồng ý,2 – Không đồng ý,1 – Hoàn toàn không đồng ý,Hệ thống hoàn toàn chưa có tính năng Quiz kiểm tra nhanh sau phần giải thích để học viên tự đánh giá.
30/07/2026 12:07:17,4 – Đồng ý,1 – Hoàn toàn không đồng ý,4 – Đồng ý,3 – Trung lập,4 – Đồng ý,
30/07/2026 12:07:33,2 – Không đồng ý,2 – Không đồng ý,3 – Trung lập,2 – Không đồng ý,3 – Trung lập,"AI chỉ giải đáp xong là im lặng luôn, tôi phải tự nghĩ câu hỏi tiếp theo khá mất thời gian."
30/07/2026 12:07:57,4 – Đồng ý,3 – Trung lập,2 – Không đồng ý,2 – Không đồng ý,1 – Hoàn toàn không đồng ý,
30/07/2026 12:08:13,4 – Đồng ý,1 – Hoàn toàn không đồng ý,3 – Trung lập,2 – Không đồng ý,1 – Hoàn toàn không đồng ý,
30/07/2026 12:08:35,5 – Hoàn toàn đồng ý.,1 – Hoàn toàn không đồng ý,3 – Trung lập,3 – Trung lập,2 – Không đồng ý,"Khi tôi lúng túng chưa biết học tiếp phần nào, AI không gợi ý bước học tiếp theo."
30/07/2026 12:08:53,3 – Trung lập,3 – Trung lập,4 – Đồng ý,1 – Hoàn toàn không đồng ý,2 – Không đồng ý,
30/07/2026 12:09:08,5 – Hoàn toàn đồng ý.,1 – Hoàn toàn không đồng ý,3 – Trung lập,1 – Hoàn toàn không đồng ý,1 – Hoàn toàn không đồng ý,
30/07/2026 12:09:26,4 – Đồng ý,1 – Hoàn toàn không đồng ý,2 – Không đồng ý,2 – Không đồng ý,1 – Hoàn toàn không đồng ý,"AI chỉ giải đáp xong là im lặng luôn, tôi phải tự nghĩ câu hỏi tiếp theo khá mất thời gian."
