conversation_id,user_id,day_code,turn_count,distinct_moves,review_concept_count,review_concept_rate,all_moves_are_review_concept,has_repeated_review_concept,has_any_check_question,has_any_citation,has_any_misconception,has_any_follow_up,has_down_rating,avg_latency_ms,median_answer_words
C0001,U0067,Lecture_material_ms2044ey_k6uor3,1,1,1,1.0,True,False,True,False,False,False,False,1400.0,44.0
C0002,U0031,Lecture_material_ms4x7dx1_t0qyxg,4,1,4,1.0,True,True,False,True,False,False,False,1583.0,124.5
C0003,U0242,Lecture_material_ms4x7dx1_t0qyxg,1,1,1,1.0,True,False,False,True,False,False,False,1489.0,157.0
C0004,U0100,Lecture_material_ms203vsq_ob7vqp,2,1,2,1.0,True,True,True,False,False,False,False,1442.5,73.0
C0005,U0326,Lecture_material_ms204v3b_r9mo78,1,1,0,0.0,False,False,False,False,False,False,False,1495.0,94.0
C0006,U0273,Lecture_material_ms203vsq_ob7vqp,1,1,0,0.0,False,False,False,False,False,False,False,1357.0,62.0
C0007,U0035,Lecture_material_ms4x7dx1_t0qyxg,2,1,2,1.0,True,True,False,True,False,False,False,1458.5,126.5
C0008,U0084,Lecture_material_ms4x7dx1_t0qyxg,3,1,3,1.0,True,True,False,True,False,False,False,1531.0,91.0
C0009,U0270,Lecture_material_ms204i6x_gqwyya,2,1,2,1.0,True,True,True,False,False,False,False,1519.0,39.0
C0010,U0170,Lecture_material_ms204i6x_gqwyya,1,1,1,1.0,True,False,False,True,False,False,False,1730.0,215.0
C0011,U0251,New learning material,2,1,2,1.0,True,True,False,True,False,False,False,2010.0,207.5
C0012,U0279,Lecture_material_ms2044ey_k6uor3,2,1,2,1.0,True,True,False,True,False,False,False,1926.5,206.5
C0013,U0189,New learning material,2,1,2,1.0,True,True,False,True,False,False,False,1984.5,193.0
C0014,U0214,New learning material,2,2,1,0.5,False,False,False,True,False,False,False,1920.0,135.0
C0015,U0329,Lecture_material_ms4ahenz_7cpqa2,2,1,2,1.0,True,True,False,False,False,False,False,1537.5,75.0
C0016,U0232,New learning material,1,1,1,1.0,True,False,False,True,False,False,False,5029.0,166.0
C0017,U0332,Lecture_material_ms4x7dx1_t0qyxg,1,1,1,1.0,True,False,False,True,False,False,False,1844.0,207.0
C0018,U0221,New learning material,2,1,2,1.0,True,True,False,True,False,False,False,2707.0,207.5
C0019,U0269,New learning material,1,1,0,0.0,False,False,False,False,False,False,False,4527.0,21.0
C0020,U0176,New learning material,2,1,0,0.0,False,False,False,True,False,False,False,4693.5,147.5
C0021,U0355,Lecture_material_ms204i6x_gqwyya,1,1,1,1.0,True,False,True,False,False,False,True,1436.0,57.0
C0022,U0317,New learning material,1,1,1,1.0,True,False,True,False,False,False,False,1662.0,30.0
C0023,U0257,New learning material,1,1,0,0.0,False,False,False,True,False,False,False,6884.0,134.0
C0024,U0276,Lecture_material_ms203vsq_ob7vqp,1,1,1,1.0,True,False,True,False,False,False,False,1394.0,57.0
C0025,U0367,New learning material,1,1,1,1.0,True,False,False,True,False,False,False,2620.0,163.0
C0026,U0200,Lecture_material_ms5rpr5o_wgl8wy,4,1,4,1.0,True,True,False,True,False,False,False,1630.25,213.0
C0027,U0016,Lecture_material_ms2044ey_k6uor3,2,1,2,1.0,True,True,False,True,False,False,False,1729.5,217.0
C0028,U0290,Day 1,1,1,1,1.0,True,False,False,True,False,False,False,6271.0,173.0
C0029,U0258,Lecture_material_ms203vsq_ob7vqp,2,1,2,1.0,True,True,True,False,False,False,False,1586.5,73.0
C0030,U0015,New learning material,1,1,1,1.0,True,False,False,False,False,False,False,1936.0,275.0
C0031,U0168,Lecture_material_ms5r18w1_oe5xlz,1,1,1,1.0,True,False,False,False,False,False,True,1667.0,70.0
C0032,U0294,Lecture_material_ms4x7dx1_t0qyxg,5,1,5,1.0,True,True,True,True,False,False,False,1796.0,255.0
C0033,U0208,Day1-C401,2,1,2,1.0,True,True,True,False,False,False,False,2026.0,213.5
